financial_year,actual_revised_estimated,category,item,sector,ministry,type,amount,percent_of_gdp
1997,Actual,Expenditure,Total Expenditure,Economic Development,Info-Communications and Media Development,Development,39,0
1997,Actual,Expenditure,Total Expenditure,Government Administration,Finance,Operating,298,0.002
1997,Actual,Expenditure,Total Expenditure,Government Administration,Finance,Development,240,0.002
1997,Actual,Expenditure,Total Expenditure,Government Administration,Law,Operating,89,0.001
1997,Actual,Expenditure,Total Expenditure,Government Administration,Law,Development,435,0.003
1997,Actual,Expenditure,Total Expenditure,Government Administration,Organs of State,Operating,150,0.001
1997,Actual,Expenditure,Total Expenditure,Government Administration,Organs of State,Development,39,0
1997,Actual,Expenditure,Total Expenditure,Government Administration,Prime Minister's Office,Operating,121,0.001
1997,Actual,Expenditure,Total Expenditure,Government Administration,Prime Minister's Office,Development,52,0
1997,Actual,Expenditure,Special Transfers Excluding Top-ups to Endowment and Trust Funds,Special Transfers Excluding Top-ups to Endowment and Trust Funds,Special Transfers Excluding Top-ups to Endowment and Trust Funds,Special Transfers Excluding Top-ups to Endowment and Trust Funds,287,0.002
1997,Actual,Expenditure,Top-ups to Endowment and Trust Funds,Top-ups to Endowment and Trust Funds,Top-ups to Endowment and Trust Funds,Top-ups to Endowment and Trust Funds,600,0.004
1997,Actual,Expenditure,Interest Costs and Loan Expenses,Interest Costs and Loan Expenses,Interest Costs and Loan Expenses,Interest Costs and Loan Expenses,0,0
1997,Actual,Expenditure,Capitalisation of Nationally Significant Infrastructure,Capitalisation of Nationally Significant Infrastructure,Capitalisation of Nationally Significant Infrastructure,Capitalisation of Nationally Significant Infrastructure,0,0
1997,Actual,Expenditure,Depreciation of Nationally Significant Infrastructure,Depreciation of Nationally Significant Infrastructure,Depreciation of Nationally Significant Infrastructure,Depreciation of Nationally Significant Infrastructure,0,0
1997,Actual,Revenue,Operating Revenue,Operating Revenue,Corporate Income Tax,Corporate Income Tax,6809,0.045
1997,Actual,Revenue,Operating Revenue,Operating Revenue,Personal Income Tax,Personal Income Tax,2347,0.016
1997,Actual,Revenue,Operating Revenue,Operating Revenue,Withholding Tax,Withholding Tax,337,0.002
1997,Actual,Revenue,Operating Revenue,Operating Revenue,Statutory Boards' Contributions,Statutory Boards' Contributions,702,0.005
1997,Actual,Revenue,Operating Revenue,Operating Revenue,Assets Taxes,Assets Taxes,2335,0.016
1997,Actual,Revenue,Operating Revenue,Operating Revenue,"Customs, Excise and Carbon Taxes","Customs, Excise and Carbon Taxes",1633,0.011
1997,Actual,Revenue,Operating Revenue,Operating Revenue,Goods and Services Tax,Goods and Services Tax,1927,0.013
1997,Actual,Revenue,Operating Revenue,Operating Revenue,Motor Vehicle Taxes,Motor Vehicle Taxes,1743,0.012
1997,Actual,Revenue,Operating Revenue,Operating Revenue,Betting Taxes,Betting Taxes,1296,0.009
1997,Actual,Revenue,Operating Revenue,Operating Revenue,Stamp Duty,Stamp Duty,1688,0.011
1997,Actual,Revenue,Operating Revenue,Operating Revenue,Other Taxes,Other Taxes,2194,0.015
1997,Actual,Revenue,Operating Revenue,Operating Revenue,Vehicle Quota Premiums,Vehicle Quota Premiums,1799,0.012
1997,Actual,Revenue,Operating Revenue,Operating Revenue,Fees and Charges (Excluding Vehicle Quota Premiums),Fees and Charges (Excluding Vehicle Quota Premiums),2201,0.015
1997,Actual,Revenue,Operating Revenue,Operating Revenue,Others,Others,2170,0.014
1997,Actual,Revenue,Net Investment Income/Returns Contribution,Net Investment Income/Returns Contribution,Net Investment Income/Returns Contribution,Net Investment Income/Returns Contribution,0,0
1998,Actual,Expenditure,Total Expenditure,Social Development,Education,Operating,3167,0.022
1998,Actual,Expenditure,Total Expenditure,Social Development,Education,Development,1686,0.012
1998,Actual,Expenditure,Total Expenditure,Social Development,National Development,Operating,402,0.003
1998,Actual,Expenditure,Total Expenditure,Social Development,National Development,Development,2003,0.014
1998,Actual,Expenditure,Total Expenditure,Social Development,Health,Operating,992,0.007
1998,Actual,Expenditure,Total Expenditure,Social Development,Health,Development,251,0.002
1998,Actual,Expenditure,Total Expenditure,Social Development,Sustainability and the Environment,Operating,314,0.002
1998,Actual,Expenditure,Total Expenditure,Social Development,Sustainability and the Environment,Development,1042,0.007
1998,Actual,Expenditure,Total Expenditure,Social Development,"Culture, Community and Youth",Operating,0,0
1998,Actual,Expenditure,Total Expenditure,Social Development,"Culture, Community and Youth",Development,0,0
1998,Actual,Expenditure,Total Expenditure,Social Development,Social and Family Development,Operating,363,0.003
1998,Actual,Expenditure,Total Expenditure,Social Development,Social and Family Development,Development,138,0.001
1998,Actual,Expenditure,Total Expenditure,Social Development,Communications and Information,Operating,194,0.001
1998,Actual,Expenditure,Total Expenditure,Social Development,Communications and Information,Development,158,0.001
1998,Actual,Expenditure,Total Expenditure,Social Development,Social Manpower,Operating,0,0
1998,Actual,Expenditure,Total Expenditure,Social Development,Social Manpower,Development,0,0
1998,Actual,Expenditure,Total Expenditure,Security and External Relations,Defence,Operating,6481,0.046
1998,Actual,Expenditure,Total Expenditure,Security and External Relations,Defence,Development,775,0.005
1998,Actual,Expenditure,Total Expenditure,Security and External Relations,Home Affairs,Operating,1032,0.007
1998,Actual,Expenditure,Total Expenditure,Security and External Relations,Home Affairs,Development,847,0.006
1998,Actual,Expenditure,Total Expenditure,Security and External Relations,Foreign Affairs,Operating,148,0.001
1998,Actual,Expenditure,Total Expenditure,Security and External Relations,Foreign Affairs,Development,24,0
1998,Actual,Expenditure,Total Expenditure,Economic Development,Economic Manpower,Operating,136,0.001
1998,Actual,Expenditure,Total Expenditure,Economic Development,Economic Manpower,Development,12,0
1998,Actual,Expenditure,Total Expenditure,Economic Development,Transport,Operating,442,0.003
1998,Actual,Expenditure,Total Expenditure,Economic Development,Transport,Development,1737,0.012
1998,Actual,Expenditure,Total Expenditure,Economic Development,Trade and Industry,Operating,315,0.002
1998,Actual,Expenditure,Total Expenditure,Economic Development,Trade and Industry,Development,2646,0.019
1998,Actual,Expenditure,Total Expenditure,Economic Development,Info-Communications and Media Development,Operating,0,0
1998,Actual,Expenditure,Total Expenditure,Economic Development,Info-Communications and Media Development,Development,94,0.001
1998,Actual,Expenditure,Total Expenditure,Government Administration,Finance,Operating,310,0.002
1998,Actual,Expenditure,Total Expenditure,Government Administration,Finance,Development,338,0.002
1998,Actual,Expenditure,Total Expenditure,Government Administration,Law,Operating,97,0.001
1998,Actual,Expenditure,Total Expenditure,Government Administration,Law,Development,402,0.003
1998,Actual,Expenditure,Total Expenditure,Government Administration,Organs of State,Operating,135,0.001
1998,Actual,Expenditure,Total Expenditure,Government Administration,Organs of State,Development,98,0.001
1998,Actual,Expenditure,Total Expenditure,Government Administration,Prime Minister's Office,Operating,123,0.001
1998,Actual,Expenditure,Total Expenditure,Government Administration,Prime Minister's Office,Development,32,0
1998,Actual,Expenditure,Special Transfers Excluding Top-ups to Endowment and Trust Funds,Special Transfers Excluding Top-ups to Endowment and Trust Funds,Special Transfers Excluding Top-ups to Endowment and Trust Funds,Special Transfers Excluding Top-ups to Endowment and Trust Funds,52,0
1998,Actual,Expenditure,Top-ups to Endowment and Trust Funds,Top-ups to Endowment and Trust Funds,Top-ups to Endowment and Trust Funds,Top-ups to Endowment and Trust Funds,0,0
1998,Actual,Expenditure,Interest Costs and Loan Expenses,Interest Costs and Loan Expenses,Interest Costs and Loan Expenses,Interest Costs and Loan Expenses,0,0
1998,Actual,Expenditure,Capitalisation of Nationally Significant Infrastructure,Capitalisation of Nationally Significant Infrastructure,Capitalisation of Nationally Significant Infrastructure,Capitalisation of Nationally Significant Infrastructure,0,0
1998,Actual,Expenditure,Depreciation of Nationally Significant Infrastructure,Depreciation of Nationally Significant Infrastructure,Depreciation of Nationally Significant Infrastructure,Depreciation of Nationally Significant Infrastructure,0,0
1998,Actual,Revenue,Operating Revenue,Operating Revenue,Corporate Income Tax,Corporate Income Tax,6256,0.044
1998,Actual,Revenue,Operating Revenue,Operating Revenue,Personal Income Tax,Personal Income Tax,2960,0.021
1998,Actual,Revenue,Operating Revenue,Operating Revenue,Withholding Tax,Withholding Tax,316,0.002
1998,Actual,Revenue,Operating Revenue,Operating Revenue,Statutory Boards' Contributions,Statutory Boards' Contributions,1800,0.013
1998,Actual,Revenue,Operating Revenue,Operating Revenue,Assets Taxes,Assets Taxes,1529,0.011
1998,Actual,Revenue,Operating Revenue,Operating Revenue,"Customs, Excise and Carbon Taxes","Customs, Excise and Carbon Taxes",1566,0.011
1998,Actual,Revenue,Operating Revenue,Operating Revenue,Goods and Services Tax,Goods and Services Tax,1657,0.012
1998,Actual,Revenue,Operating Revenue,Operating Revenue,Motor Vehicle Taxes,Motor Vehicle Taxes,1205,0.009
1998,Actual,Revenue,Operating Revenue,Operating Revenue,Betting Taxes,Betting Taxes,1272,0.009
1998,Actual,Revenue,Operating Revenue,Operating Revenue,Stamp Duty,Stamp Duty,953,0.007
1998,Actual,Revenue,Operating Revenue,Operating Revenue,Other Taxes,Other Taxes,2037,0.014
1998,Actual,Revenue,Operating Revenue,Operating Revenue,Vehicle Quota Premiums,Vehicle Quota Premiums,1271,0.009
1998,Actual,Revenue,Operating Revenue,Operating Revenue,Fees and Charges (Excluding Vehicle Quota Premiums),Fees and Charges (Excluding Vehicle Quota Premiums),1881,0.013
1998,Actual,Revenue,Operating Revenue,Operating Revenue,Others,Others,3208,0.023
1998,Actual,Revenue,Net Investment Income/Returns Contribution,Net Investment Income/Returns Contribution,Net Investment Income/Returns Contribution,Net Investment Income/Returns Contribution,0,0
1999,Actual,Expenditure,Total Expenditure,Social Development,Education,Operating,3257,0.022
1999,Actual,Expenditure,Total Expenditure,Social Development,Education,Development,1601,0.011
1999,Actual,Expenditure,Total Expenditure,Social Development,National Development,Operating,358,0.002
1999,Actual,Expenditure,Total Expenditure,Social Development,National Development,Development,2172,0.014
1999,Actual,Expenditure,Total Expenditure,Social Development,Health,Operating,936,0.006
1999,Actual,Expenditure,Total Expenditure,Social Development,Health,Development,153,0.001
1999,Actual,Expenditure,Total Expenditure,Social Development,Sustainability and the Environment,Operating,329,0.002
1999,Actual,Expenditure,Total Expenditure,Social Development,Sustainability and the Environment,Development,945,0.006
1999,Actual,Expenditure,Total Expenditure,Social Development,"Culture, Community and Youth",Operating,0,0
1999,Actual,Expenditure,Total Expenditure,Social Development,"Culture, Community and Youth",Development,0,0
1999,Actual,Expenditure,Total Expenditure,Social Development,Social and Family Development,Operating,310,0.002
1999,Actual,Expenditure,Total Expenditure,Social Development,Social and Family Development,Development,132,0.001
1999,Actual,Expenditure,Total Expenditure,Social Development,Communications and Information,Operating,220,0.001
1999,Actual,Expenditure,Total Expenditure,Social Development,Communications and Information,Development,139,0.001
1999,Actual,Expenditure,Total Expenditure,Social Development,Social Manpower,Operating,0,0
1999,Actual,Expenditure,Total Expenditure,Social Development,Social Manpower,Development,0,0
1999,Actual,Expenditure,Total Expenditure,Security and External Relations,Defence,Operating,6647,0.044
1999,Actual,Expenditure,Total Expenditure,Security and External Relations,Defence,Development,620,0.004
1999,Actual,Expenditure,Total Expenditure,Security and External Relations,Home Affairs,Operating,1101,0.007
1999,Actual,Expenditure,Total Expenditure,Security and External Relations,Home Affairs,Development,729,0.005
1999,Actual,Expenditure,Total Expenditure,Security and External Relations,Foreign Affairs,Operating,153,0.001
1999,Actual,Expenditure,Total Expenditure,Security and External Relations,Foreign Affairs,Development,53,0
1999,Actual,Expenditure,Total Expenditure,Economic Development,Economic Manpower,Operating,91,0.001
1999,Actual,Expenditure,Total Expenditure,Economic Development,Economic Manpower,Development,6,0
1999,Actual,Expenditure,Total Expenditure,Economic Development,Transport,Operating,409,0.003
1999,Actual,Expenditure,Total Expenditure,Economic Development,Transport,Development,720,0.005
1999,Actual,Expenditure,Total Expenditure,Economic Development,Trade and Industry,Operating,366,0.002
1999,Actual,Expenditure,Total Expenditure,Economic Development,Trade and Industry,Development,2073,0.014
1999,Actual,Expenditure,Total Expenditure,Economic Development,Info-Communications and Media Development,Operating,0,0
1999,Actual,Expenditure,Total Expenditure,Economic Development,Info-Communications and Media Development,Development,82,0.001
1999,Actual,Expenditure,Total Expenditure,Government Administration,Finance,Operating,339,0.002
1999,Actual,Expenditure,Total Expenditure,Government Administration,Finance,Development,199,0.001
1999,Actual,Expenditure,Total Expenditure,Government Administration,Law,Operating,109,0.001
1999,Actual,Expenditure,Total Expenditure,Government Administration,Law,Development,310,0.002
1999,Actual,Expenditure,Total Expenditure,Government Administration,Organs of State,Operating,136,0.001
1999,Actual,Expenditure,Total Expenditure,Government Administration,Organs of State,Development,251,0.002
1999,Actual,Expenditure,Total Expenditure,Government Administration,Prime Minister's Office,Operating,108,0.001
1999,Actual,Expenditure,Total Expenditure,Government Administration,Prime Minister's Office,Development,25,0
1999,Actual,Expenditure,Special Transfers Excluding Top-ups to Endowment and Trust Funds,Special Transfers Excluding Top-ups to Endowment and Trust Funds,Special Transfers Excluding Top-ups to Endowment and Trust Funds,Special Transfers Excluding Top-ups to Endowment and Trust Funds,382,0.003
1999,Actual,Expenditure,Top-ups to Endowment and Trust Funds,Top-ups to Endowment and Trust Funds,Top-ups to Endowment and Trust Funds,Top-ups to Endowment and Trust Funds,300,0.002
1999,Actual,Expenditure,Interest Costs and Loan Expenses,Interest Costs and Loan Expenses,Interest Costs and Loan Expenses,Interest Costs and Loan Expenses,0,0
1999,Actual,Expenditure,Capitalisation of Nationally Significant Infrastructure,Capitalisation of Nationally Significant Infrastructure,Capitalisation of Nationally Significant Infrastructure,Capitalisation of Nationally Significant Infrastructure,0,0
1999,Actual,Expenditure,Depreciation of Nationally Significant Infrastructure,Depreciation of Nationally Significant Infrastructure,Depreciation of Nationally Significant Infrastructure,Depreciation of Nationally Significant Infrastructure,0,0
1999,Actual,Revenue,Operating Revenue,Operating Revenue,Corporate Income Tax,Corporate Income Tax,6565,0.044
1999,Actual,Revenue,Operating Revenue,Operating Revenue,Personal Income Tax,Personal Income Tax,3040,0.02
1999,Actual,Revenue,Operating Revenue,Operating Revenue,Withholding Tax,Withholding Tax,467,0.003
1999,Actual,Revenue,Operating Revenue,Operating Revenue,Statutory Boards' Contributions,Statutory Boards' Contributions,1676,0.011
1999,Actual,Revenue,Operating Revenue,Operating Revenue,Assets Taxes,Assets Taxes,1314,0.009
1999,Actual,Revenue,Operating Revenue,Operating Revenue,"Customs, Excise and Carbon Taxes","Customs, Excise and Carbon Taxes",1574,0.01
1999,Actual,Revenue,Operating Revenue,Operating Revenue,Goods and Services Tax,Goods and Services Tax,1995,0.013
1999,Actual,Revenue,Operating Revenue,Operating Revenue,Motor Vehicle Taxes,Motor Vehicle Taxes,1719,0.011
1999,Actual,Revenue,Operating Revenue,Operating Revenue,Betting Taxes,Betting Taxes,1373,0.009
1999,Actual,Revenue,Operating Revenue,Operating Revenue,Stamp Duty,Stamp Duty,1413,0.009
1999,Actual,Revenue,Operating Revenue,Operating Revenue,Other Taxes,Other Taxes,1489,0.01
1999,Actual,Revenue,Operating Revenue,Operating Revenue,Vehicle Quota Premiums,Vehicle Quota Premiums,2513,0.017
1999,Actual,Revenue,Operating Revenue,Operating Revenue,Fees and Charges (Excluding Vehicle Quota Premiums),Fees and Charges (Excluding Vehicle Quota Premiums),2051,0.014
1999,Actual,Revenue,Operating Revenue,Operating Revenue,Others,Others,3458,0.023
1999,Actual,Revenue,Net Investment Income/Returns Contribution,Net Investment Income/Returns Contribution,Net Investment Income/Returns Contribution,Net Investment Income/Returns Contribution,0,0
2000,Actual,Expenditure,Total Expenditure,Social Development,Education,Operating,4277,0.025
2000,Actual,Expenditure,Total Expenditure,Social Development,Education,Development,1591,0.009
2000,Actual,Expenditure,Total Expenditure,Social Development,National Development,Operating,325,0.002
2000,Actual,Expenditure,Total Expenditure,Social Development,National Development,Development,2069,0.012
2000,Actual,Expenditure,Total Expenditure,Social Development,Health,Operating,1072,0.006
2000,Actual,Expenditure,Total Expenditure,Social Development,Health,Development,140,0.001
2000,Actual,Expenditure,Total Expenditure,Social Development,Sustainability and the Environment,Operating,390,0.002
2000,Actual,Expenditure,Total Expenditure,Social Development,Sustainability and the Environment,Development,528,0.003
2000,Actual,Expenditure,Total Expenditure,Social Development,"Culture, Community and Youth",Operating,0,0
2000,Actual,Expenditure,Total Expenditure,Social Development,"Culture, Community and Youth",Development,0,0
2000,Actual,Expenditure,Total Expenditure,Social Development,Social and Family Development,Operating,377,0.002
2000,Actual,Expenditure,Total Expenditure,Social Development,Social and Family Development,Development,92,0.001
2000,Actual,Expenditure,Total Expenditure,Social Development,Communications and Information,Operating,213,0.001
2000,Actual,Expenditure,Total Expenditure,Social Development,Communications and Information,Development,97,0.001
2000,Actual,Expenditure,Total Expenditure,Social Development,Social Manpower,Operating,0,0
2000,Actual,Expenditure,Total Expenditure,Social Development,Social Manpower,Development,0,0
2000,Actual,Expenditure,Total Expenditure,Security and External Relations,Defence,Operating,6561,0.039
2000,Actual,Expenditure,Total Expenditure,Security and External Relations,Defence,Development,861,0.005
2000,Actual,Expenditure,Total Expenditure,Security and External Relations,Home Affairs,Operating,1300,0.008
2000,Actual,Expenditure,Total Expenditure,Security and External Relations,Home Affairs,Development,654,0.004
2000,Actual,Expenditure,Total Expenditure,Security and External Relations,Foreign Affairs,Operating,180,0.001
2000,Actual,Expenditure,Total Expenditure,Security and External Relations,Foreign Affairs,Development,70,0
2000,Actual,Expenditure,Total Expenditure,Economic Development,Economic Manpower,Operating,107,0.001
2000,Actual,Expenditure,Total Expenditure,Economic Development,Economic Manpower,Development,18,0
2000,Actual,Expenditure,Total Expenditure,Economic Development,Transport,Operating,2390,0.014
2000,Actual,Expenditure,Total Expenditure,Economic Development,Transport,Development,1130,0.007
2000,Actual,Expenditure,Total Expenditure,Economic Development,Trade and Industry,Operating,412,0.002
2000,Actual,Expenditure,Total Expenditure,Economic Development,Trade and Industry,Development,1820,0.011
2000,Actual,Expenditure,Total Expenditure,Economic Development,Info-Communications and Media Development,Operating,0,0
2000,Actual,Expenditure,Total Expenditure,Economic Development,Info-Communications and Media Development,Development,179,0.001
2000,Actual,Expenditure,Total Expenditure,Government Administration,Finance,Operating,388,0.002
2000,Actual,Expenditure,Total Expenditure,Government Administration,Finance,Development,57,0
2000,Actual,Expenditure,Total Expenditure,Government Administration,Law,Operating,120,0.001
2000,Actual,Expenditure,Total Expenditure,Government Administration,Law,Development,131,0.001
2000,Actual,Expenditure,Total Expenditure,Government Administration,Organs of State,Operating,170,0.001
2000,Actual,Expenditure,Total Expenditure,Government Administration,Organs of State,Development,38,0
2000,Actual,Expenditure,Total Expenditure,Government Administration,Prime Minister's Office,Operating,134,0.001
2000,Actual,Expenditure,Total Expenditure,Government Administration,Prime Minister's Office,Development,18,0
2000,Actual,Expenditure,Special Transfers Excluding Top-ups to Endowment and Trust Funds,Special Transfers Excluding Top-ups to Endowment and Trust Funds,Special Transfers Excluding Top-ups to Endowment and Trust Funds,Special Transfers Excluding Top-ups to Endowment and Trust Funds,1035,0.006
2000,Actual,Expenditure,Top-ups to Endowment and Trust Funds,Top-ups to Endowment and Trust Funds,Top-ups to Endowment and Trust Funds,Top-ups to Endowment and Trust Funds,800,0.005
2000,Actual,Expenditure,Interest Costs and Loan Expenses,Interest Costs and Loan Expenses,Interest Costs and Loan Expenses,Interest Costs and Loan Expenses,0,0
2000,Actual,Expenditure,Capitalisation of Nationally Significant Infrastructure,Capitalisation of Nationally Significant Infrastructure,Capitalisation of Nationally Significant Infrastructure,Capitalisation of Nationally Significant Infrastructure,0,0
2000,Actual,Expenditure,Depreciation of Nationally Significant Infrastructure,Depreciation of Nationally Significant Infrastructure,Depreciation of Nationally Significant Infrastructure,Depreciation of Nationally Significant Infrastructure,0,0
2000,Actual,Revenue,Operating Revenue,Operating Revenue,Corporate Income Tax,Corporate Income Tax,8316,0.049
2000,Actual,Revenue,Operating Revenue,Operating Revenue,Personal Income Tax,Personal Income Tax,3543,0.021
2000,Actual,Revenue,Operating Revenue,Operating Revenue,Withholding Tax,Withholding Tax,486,0.003
2000,Actual,Revenue,Operating Revenue,Operating Revenue,Statutory Boards' Contributions,Statutory Boards' Contributions,1192,0.007
2000,Actual,Revenue,Operating Revenue,Operating Revenue,Assets Taxes,Assets Taxes,1606,0.01
2000,Actual,Revenue,Operating Revenue,Operating Revenue,"Customs, Excise and Carbon Taxes","Customs, Excise and Carbon Taxes",1847,0.011
2000,Actual,Revenue,Operating Revenue,Operating Revenue,Goods and Services Tax,Goods and Services Tax,2121,0.013
2000,Actual,Revenue,Operating Revenue,Operating Revenue,Motor Vehicle Taxes,Motor Vehicle Taxes,2506,0.015
2000,Actual,Revenue,Operating Revenue,Operating Revenue,Betting Taxes,Betting Taxes,1494,0.009
2000,Actual,Revenue,Operating Revenue,Operating Revenue,Stamp Duty,Stamp Duty,1257,0.007
2000,Actual,Revenue,Operating Revenue,Operating Revenue,Other Taxes,Other Taxes,1259,0.007
2000,Actual,Revenue,Operating Revenue,Operating Revenue,Vehicle Quota Premiums,Vehicle Quota Premiums,3105,0.018
2000,Actual,Revenue,Operating Revenue,Operating Revenue,Fees and Charges (Excluding Vehicle Quota Premiums),Fees and Charges (Excluding Vehicle Quota Premiums),2545,0.015
2000,Actual,Revenue,Operating Revenue,Operating Revenue,Others,Others,162,0.001
2000,Actual,Revenue,Net Investment Income/Returns Contribution,Net Investment Income/Returns Contribution,Net Investment Income/Returns Contribution,Net Investment Income/Returns Contribution,2287,0.014
2001,Actual,Expenditure,Total Expenditure,Social Development,Education,Operating,4767,0.03
2001,Actual,Expenditure,Total Expenditure,Social Development,Education,Development,1473,0.009
2001,Actual,Expenditure,Total Expenditure,Social Development,National Development,Operating,398,0.002
2001,Actual,Expenditure,Total Expenditure,Social Development,National Development,Development,1770,0.011
2001,Actual,Expenditure,Total Expenditure,Social Development,Health,Operating,1445,0.009
2001,Actual,Expenditure,Total Expenditure,Social Development,Health,Development,145,0.001
2001,Actual,Expenditure,Total Expenditure,Social Development,Sustainability and the Environment,Operating,414,0.003
2001,Actual,Expenditure,Total Expenditure,Social Development,Sustainability and the Environment,Development,502,0.003
2001,Actual,Expenditure,Total Expenditure,Social Development,"Culture, Community and Youth",Operating,0,0
2001,Actual,Expenditure,Total Expenditure,Social Development,"Culture, Community and Youth",Development,0,0
2001,Actual,Expenditure,Total Expenditure,Social Development,Social and Family Development,Operating,513,0.003
2001,Actual,Expenditure,Total Expenditure,Social Development,Social and Family Development,Development,118,0.001
2001,Actual,Expenditure,Total Expenditure,Social Development,Communications and Information,Operating,234,0.001
2001,Actual,Expenditure,Total Expenditure,Social Development,Communications and Information,Development,162,0.001
2001,Actual,Expenditure,Total Expenditure,Social Development,Social Manpower,Operating,0,0
2001,Actual,Expenditure,Total Expenditure,Social Development,Social Manpower,Development,0,0
2001,Actual,Expenditure,Total Expenditure,Security and External Relations,Defence,Operating,7089,0.044
2001,Actual,Expenditure,Total Expenditure,Security and External Relations,Defence,Development,730,0.005
2001,Actual,Expenditure,Total Expenditure,Security and External Relations,Home Affairs,Operating,1580,0.01
2001,Actual,Expenditure,Total Expenditure,Security and External Relations,Home Affairs,Development,570,0.004
2001,Actual,Expenditure,Total Expenditure,Security and External Relations,Foreign Affairs,Operating,196,0.001
2001,Actual,Expenditure,Total Expenditure,Security and External Relations,Foreign Affairs,Development,62,0
2001,Actual,Expenditure,Total Expenditure,Economic Development,Economic Manpower,Operating,130,0.001
2001,Actual,Expenditure,Total Expenditure,Economic Development,Economic Manpower,Development,82,0.001
2001,Actual,Expenditure,Total Expenditure,Economic Development,Transport,Operating,406,0.003
2001,Actual,Expenditure,Total Expenditure,Economic Development,Transport,Development,1508,0.009
2001,Actual,Expenditure,Total Expenditure,Economic Development,Trade and Industry,Operating,553,0.003
2001,Actual,Expenditure,Total Expenditure,Economic Development,Trade and Industry,Development,1293,0.008
2001,Actual,Expenditure,Total Expenditure,Economic Development,Info-Communications and Media Development,Operating,24,0
2001,Actual,Expenditure,Total Expenditure,Economic Development,Info-Communications and Media Development,Development,23,0
2001,Actual,Expenditure,Total Expenditure,Government Administration,Finance,Operating,352,0.002
2001,Actual,Expenditure,Total Expenditure,Government Administration,Finance,Development,70,0
2001,Actual,Expenditure,Total Expenditure,Government Administration,Law,Operating,112,0.001
2001,Actual,Expenditure,Total Expenditure,Government Administration,Law,Development,213,0.001
2001,Actual,Expenditure,Total Expenditure,Government Administration,Organs of State,Operating,173,0.001
2001,Actual,Expenditure,Total Expenditure,Government Administration,Organs of State,Development,30,0
2001,Actual,Expenditure,Total Expenditure,Government Administration,Prime Minister's Office,Operating,151,0.001
2001,Actual,Expenditure,Total Expenditure,Government Administration,Prime Minister's Office,Development,18,0
2001,Actual,Expenditure,Special Transfers Excluding Top-ups to Endowment and Trust Funds,Special Transfers Excluding Top-ups to Endowment and Trust Funds,Special Transfers Excluding Top-ups to Endowment and Trust Funds,Special Transfers Excluding Top-ups to Endowment and Trust Funds,3464,0.022
2001,Actual,Expenditure,Top-ups to Endowment and Trust Funds,Top-ups to Endowment and Trust Funds,Top-ups to Endowment and Trust Funds,Top-ups to Endowment and Trust Funds,1800,0.011
