"financial_year","actual_revised_estimated","category","item","sector","ministry","type","class","amount","percent_of_gdp"
2015,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,1332,0.003
2016,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,2284,0.005
2017,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,3218,0.007
2018,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,2941,0.006
2019,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,2606,0.005
2020,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,4626,0.01
2021,"Revised","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,4777,0.009
2022,"Estimated","Expenditure","Total Expenditure","Social Development","National Development","Operating",NA,3426,0.006
1997,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,972,0.006
1998,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,2003,0.014
1999,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,2172,0.014
2000,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,2069,0.012
2001,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,1770,0.011
2002,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,1089,0.007
2003,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,1865,0.011
2004,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,1153,0.006
2005,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,1010,0.005
2006,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,675,0.003
2007,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,1187,0.004
2008,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,1095,0.004
2009,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,1307,0.004
2010,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,1646,0.005
2011,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,1572,0.004
2012,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,1354,0.004
2013,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,901,0.002
2014,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,1308,0.003
2015,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,1321,0.003
2016,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,1248,0.003
2017,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,1257,0.003
2018,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,1191,0.002
2019,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,926,0.002
2020,"Actual","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,1191,0.002
2021,"Revised","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,1134,0.002
2022,"Estimated","Expenditure","Total Expenditure","Social Development","National Development","Development",NA,1221,0.002
1997,"Actual","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,896,0.006
1998,"Actual","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,992,0.007
1999,"Actual","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,936,0.006
2000,"Actual","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,1072,0.006
2001,"Actual","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,1445,0.009
2002,"Actual","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,1451,0.009
2003,"Actual","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,1904,0.011
2004,"Actual","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,1604,0.008
2005,"Actual","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,1680,0.008
2006,"Actual","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,1840,0.008
2007,"Actual","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,2019,0.007
2008,"Actual","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,2379,0.009
2009,"Actual","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,2920,0.01
2010,"Actual","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,3258,0.01
2011,"Actual","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,3489,0.01
2012,"Actual","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,4066,0.011
2013,"Actual","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,5044,0.013
2014,"Actual","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,5872,0.014
2015,"Actual","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,7520,0.018
2016,"Actual","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,8199,0.018
2017,"Actual","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,8734,0.018
2018,"Actual","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,8937,0.017
2019,"Actual","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,9915,0.019
2020,"Actual","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,14311,0.03
2021,"Revised","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,17355,0.032
2022,"Estimated","Expenditure","Total Expenditure","Social Development","Health","Operating",NA,17840,0.031
1997,"Actual","Expenditure","Total Expenditure","Social Development","Health","Development",NA,274,0.002
1998,"Actual","Expenditure","Total Expenditure","Social Development","Health","Development",NA,251,0.002
1999,"Actual","Expenditure","Total Expenditure","Social Development","Health","Development",NA,153,0.001
2000,"Actual","Expenditure","Total Expenditure","Social Development","Health","Development",NA,140,0.001
2001,"Actual","Expenditure","Total Expenditure","Social Development","Health","Development",NA,145,0.001
2002,"Actual","Expenditure","Total Expenditure","Social Development","Health","Development",NA,82,0
2003,"Actual","Expenditure","Total Expenditure","Social Development","Health","Development",NA,103,0.001
2004,"Actual","Expenditure","Total Expenditure","Social Development","Health","Development",NA,114,0.001
2005,"Actual","Expenditure","Total Expenditure","Social Development","Health","Development",NA,85,0
2006,"Actual","Expenditure","Total Expenditure","Social Development","Health","Development",NA,96,0
2007,"Actual","Expenditure","Total Expenditure","Social Development","Health","Development",NA,185,0.001
2008,"Actual","Expenditure","Total Expenditure","Social Development","Health","Development",NA,336,0.001
2009,"Actual","Expenditure","Total Expenditure","Social Development","Health","Development",NA,711,0.002
2010,"Actual","Expenditure","Total Expenditure","Social Development","Health","Development",NA,485,0.001
2011,"Actual","Expenditure","Total Expenditure","Social Development","Health","Development",NA,453,0.001
2012,"Actual","Expenditure","Total Expenditure","Social Development","Health","Development",NA,605,0.002
2013,"Actual","Expenditure","Total Expenditure","Social Development","Health","Development",NA,723,0.002
2014,"Actual","Expenditure","Total Expenditure","Social Development","Health","Development",NA,1147,0.003
2015,"Actual","Expenditure","Total Expenditure","Social Development","Health","Development",NA,1413,0.003
2016,"Actual","Expenditure","Total Expenditure","Social Development","Health","Development",NA,1619,0.004
2017,"Actual","Expenditure","Total Expenditure","Social Development","Health","Development",NA,1465,0.003
2018,"Actual","Expenditure","Total Expenditure","Social Development","Health","Development",NA,1490,0.003
2019,"Actual","Expenditure","Total Expenditure","Social Development","Health","Development",NA,1404,0.003
2020,"Actual","Expenditure","Total Expenditure","Social Development","Health","Development",NA,949,0.002
2021,"Revised","Expenditure","Total Expenditure","Social Development","Health","Development",NA,1072,0.002
2022,"Estimated","Expenditure","Total Expenditure","Social Development","Health","Development",NA,1448,0.003
1997,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,318,0.002
1998,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,314,0.002
1999,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,329,0.002
2000,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,390,0.002
2001,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,414,0.003
2002,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,448,0.003
2003,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,453,0.003
2004,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,479,0.002
2005,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,408,0.002
2006,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,414,0.002
2007,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,453,0.002
2008,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,606,0.002
2009,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,656,0.002
2010,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,720,0.002
2011,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,726,0.002
2012,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,813,0.002
2013,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,958,0.002
2014,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,1049,0.003
2015,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,1125,0.003
2016,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,1201,0.003
2017,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,1248,0.003
2018,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,1295,0.003
2019,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,1540,0.003
2020,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,1646,0.003
2021,"Revised","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,1907,0.004
2022,"Estimated","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Operating",NA,1989,0.003
1997,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,652,0.004
1998,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,1042,0.007
1999,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,945,0.006
2000,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,528,0.003
2001,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,502,0.003
2002,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,771,0.005
2003,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,952,0.005
2004,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,1101,0.006
2005,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,775,0.004
2006,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,570,0.002
2007,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,381,0.001
2008,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,325,0.001
2009,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,323,0.001
2010,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,406,0.001
2011,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,349,0.001
2012,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,352,0.001
2013,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,325,0.001
2014,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,427,0.001
2015,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,567,0.001
2016,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,684,0.002
2017,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,1549,0.003
2018,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,839,0.002
2019,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,1076,0.002
2020,"Actual","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,708,0.001
2021,"Revised","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,932,0.002
2022,"Estimated","Expenditure","Total Expenditure","Social Development","Sustainability and the Environment","Development",NA,969,0.002
1997,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,0,0
1998,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,0,0
1999,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,0,0
2000,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,0,0
2001,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,0,0
2002,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,0,0
2003,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,0,0
2004,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,0,0
2005,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,0,0
2006,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,0,0
2007,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,0,0
2008,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,0,0
2009,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,0,0
2010,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,0,0
2011,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,0,0
2012,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,364,0.001
2013,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,1003,0.003
2014,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,1335,0.003
2015,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,1795,0.004
2016,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,1444,0.003
2017,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,1586,0.003
2018,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,1668,0.003
2019,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,1674,0.003
2020,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,1927,0.004
2021,"Revised","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,2128,0.004
2022,"Estimated","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Operating",NA,2034,0.004
1997,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,0,0
1998,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,0,0
1999,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,0,0
2000,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,0,0
2001,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,0,0
2002,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,0,0
2003,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,0,0
2004,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,0,0
2005,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,0,0
2006,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,0,0
2007,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,0,0
2008,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,0,0
2009,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,0,0
2010,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,0,0
2011,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,0,0
2012,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,95,0
2013,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,212,0.001
2014,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,617,0.002
2015,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,779,0.002
2016,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,507,0.001
2017,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,489,0.001
2018,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,300,0.001
2019,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,210,0
2020,"Actual","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,207,0
2021,"Revised","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,282,0.001
2022,"Estimated","Expenditure","Total Expenditure","Social Development","Culture, Community and Youth","Development",NA,404,0.001
1997,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,290,0.002
1998,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,363,0.003
1999,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,310,0.002
2000,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,377,0.002
2001,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,513,0.003
2002,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,572,0.003
2003,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,619,0.004
2004,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,814,0.004
2005,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,844,0.004
2006,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,903,0.004
2007,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,962,0.003
2008,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,1182,0.004
2009,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,1565,0.005
2010,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,1829,0.005
2011,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,1721,0.005
2012,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,1739,0.005
2013,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,1598,0.004
2014,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,1722,0.004
2015,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,2121,0.005
2016,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,2389,0.005
2017,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,2459,0.005
2018,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,2608,0.005
2019,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,2835,0.006
2020,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,3673,0.008
2021,"Revised","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,3711,0.007
2022,"Estimated","Expenditure","Total Expenditure","Social Development","Social and Family Development","Operating",NA,3770,0.007
1997,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,169,0.001
1998,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,138,0.001
1999,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,132,0.001
2000,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,92,0.001
2001,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,118,0.001
2002,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,112,0.001
2003,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,90,0.001
2004,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,97,0
2005,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,97,0
2006,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,103,0
2007,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,234,0.001
2008,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,96,0
2009,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,115,0
2010,"Actual","Expenditure","Total Expenditure","Social Development","Social and Family Development","Development",NA,120,0
